product_id,image_path,ocr_text,ocr_text_cleaned
B09QL3NQHX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3NQHX_allsrp_img1.jpg,"Low Latency Mode
w/ Dedicated Button",Low Latency Mode  Dedicated Button
B09QL3NQHX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3NQHX_allsrp_img2.jpg,"Bluetooth v5.2

Switch between devices
with Dual Pairing

Adaptive Fit

No compromise on comfort

Easy Access

Controls
Change the track,
stop music & increase
or decrease volume.

7 ‘ J ‘ y

Instant
Voice Assistant

e;

OK Googte Hey Sirl","Bluetooth . Switch between devices with Dual Pairing Adaptive Fit  compromise  comfort Easy Access Controls Change the track, stop music  increase  decrease volume.      Instant Voice Assistant   Googte Hey Sirl"
B09QL3NQHX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3NQHX_allsrp_img3.jpg,"ENx™ Technology
Be Clearly Heard Across Calls",ENx Technology  Clearly Heard Across Calls
B09QL3NQHX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3NQHX_allsrp_img4.jpg,,
B09QL3NQHX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3NQHX_allsrp_img5.jpg,,
B09QL3NQHX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3NQHX_allsrp_img6.jpg,"Upto —
Total Playback Time

oO a

Charge with Type C

10Mins - 10Hrs
CHARGE PLAYTIME",Upto  Total Playback Time   Charge with Type  10Mins - 10Hrs CHARGE PLAYTIME
B09QL3NQHX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3NQHX_allsrp_img7.jpg,,
B07PR1CL3S,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B07PR1CL3S_allsrp_img1.jpg,,
B07PR1CL3S,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B07PR1CL3S_allsrp_img2.jpg,,
B07PR1CL3S,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B07PR1CL3S_allsrp_img3.jpg,"40mm Drivers
boAt Signature Sound

Integrated Controls _~ Premium

Dual Connectivity: BT & AUX Matte Finish

: Mi f,. ‘ Adjustable &

Foldable Earcups

SINGLE TOUCH
VOICE ASSISTANT","40mm Drivers boAt Signature Sound Integrated Controls  Premium Dual Connectivity   AUX Matte Finish   ,.  Adjustable  Foldable Earcups SINGLE TOUCH VOICE ASSISTANT"
B07PR1CL3S,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B07PR1CL3S_allsrp_img4.jpg,Premium Matte Finish,Premium Matte Finish
B07PR1CL3S,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B07PR1CL3S_allsrp_img5.jpg,"Integrated Controls
Dual Connectivity: Bluetooth & AUX",Integrated Controls Dual Connectivity Bluetooth  AUX
B07PR1CL3S,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B07PR1CL3S_allsrp_img6.jpg,,
B07PR1CL3S,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B07PR1CL3S_allsrp_img7.jpg,,
B09R24JBYV,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09R24JBYV_allsrp_img1.jpg,Deep Bass,Deep Bass
B09R24JBYV,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09R24JBYV_allsrp_img2.jpg,,
B09R24JBYV,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09R24JBYV_allsrp_img3.jpg,"10mm
Driver",10mm Driver
B09R24JBYV,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09R24JBYV_allsrp_img4.jpg,"Call function
with built-in Mic |

} |",Call function with built- Mic
B09R24JBYV,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09R24JBYV_allsrp_img5.jpg,"fi

Call function
with built-in Mic",Call function with built- Mic
B09R24JBYV,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09R24JBYV_allsrp_img6.jpg,"10mm
Driver",10mm Driver
B09R24JBYV,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09R24JBYV_allsrp_img7.jpg,,
B0DGTSTQWL,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTSTQWL_allsrp_img1.jpg,"BEAST™ Mode

40ms Low Latency Gaming",BEAST Mode 40ms Low Latency Gaming
B0DGTSTQWL,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTSTQWL_allsrp_img2.jpg,,
B0DGTSTQWL,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTSTQWL_allsrp_img3.jpg,"Mab rivers
end

BEAST™ Mode

40ms Low Latency Gaming",Mab rivers end BEAST Mode 40ms Low Latency Gaming
B0DGTSTQWL,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTSTQWL_allsrp_img4.jpg,_omm Drivers N,_omm Drivers
B0DGTSTQWL,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTSTQWL_allsrp_img5.jpg,,
B0DGTSTQWL,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTSTQWL_allsrp_img6.jpg,,
B0DGTSTQWL,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTSTQWL_allsrp_img7.jpg,"6

Lesy Access Controls Adaptive Fit

Blueraoln
v5.4

Voice Assistant

_ rf]

Type-€ Inte",Lesy Access Controls Adaptive Fit Blueraoln . Voice Assistant   Type- Inte
B00Y4ORQ46,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img1.jpg,"STEREO SOUND

Enjoy clear calls, music and more","STEREO SOUND Enjoy clear calls, music and more"
B00Y4ORQ46,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img2.jpg,,
B00Y4ORQ46,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img3.jpg,,
B00Y4ORQ46,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img4.jpg,"ADJUSTABLE HEADBAND

For a perfect, personalized fit","ADJUSTABLE HEADBAND For  perfect, personalized fit"
B00Y4ORQ46,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img5.jpg,"STEREO SOUND

Enjoy clear calls, musi¢ and more","STEREO SOUND Enjoy clear calls, musi and more"
B00Y4ORQ46,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img6.jpg,"BOOM MICROPHONE

Adjusts 180° to wear on feft or right side",BOOM MICROPHONE Adjusts 180  wear  feft  right side
B00Y4ORQ46,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img7.jpg,"CUSHIONED COMFORT

Soft foorn earpads",CUSHIONED COMFORT Soft foorn earpads
B0BS1PRC4L,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img1.jpg,,
B0BS1PRC4L,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img2.jpg,"LISTEN LONGER

e Up to 50 hours battery life”
Bmins charge for@ to 90 njiplayback’

* Actual performance varies based on settings, environmental conditions, storage, and usage.
Batteries are consumable products and their capacity degrades over time as they age. Sony does not guarantee the life span of the battery.","LISTEN LONGER     hours battery life Bmins charge for   njiplayback  Actual performance varies based  settings, environmental conditions, storage, and usage. Batteries are consumable products and their capacity degrades over time  they age. Sony does not guarantee the life span  the battery."
B0BS1PRC4L,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img3.jpg,,
B0BS1PRC4L,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img4.jpg,,
B0BS1PRC4L,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img5.jpg,"EASY HANDS-FREE CALLING

Built-in microphone’",EASY HANDS-FREE CALLING Built- microphone
B0BS1PRC4L,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img6.jpg,,
B0BS1PRC4L,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img7.jpg,"ALL DAY COMFORT

Comfortable, lightweight design","ALL DAY COMFORT Comfortable, lightweight design"
B086671ZSR,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img1.jpg,,
B086671ZSR,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img2.jpg,,
B086671ZSR,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img3.jpg,"Controles Integrados

Bluetooth

Auxiliar

Fones de ouvido ajustaveis

Defina um alarr

“ALO SIRIr

“OK GOOGLE”

Assistente de voz de toque unico",Controles Integrados Bluetooth Auxiliar Fones  ouvido ajustaveis Defina  alarr ALO SIRIr  GOOGLE Assistente  voz  toque unico
B086671ZSR,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img4.jpg,,
B086671ZSR,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img5.jpg,"Destaques

rapidos do produto

Drivers
de 40 mm -

15 horas

de reproduga

Faixa de cabecga
adaptativa

oles
operacionais *
faceis

Bateria de

300mAh",Destaques rapidos  produto Drivers    -  horas  reproduga Faixa  cabecga adaptativa oles operacionais  faceis Bateria  300mAh
B086671ZSR,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img6.jpg,"Design leve

Almofadas de ouvido acolchoadas",Design leve Almofadas  ouvido acolchoadas
B086671ZSR,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img7.jpg,,
B0DHDDF5J2,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img1.jpg,"Unidirectional
Picks up sound fr

ete
wane
cee
erent

= ae",Unidirectional Picks  sound  ete wane cee erent
B0DHDDF5J2,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img2.jpg,,
B0DHDDF5J2,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img3.jpg,Adjustable He,Adjustable
B0DHDDF5J2,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img4.jpg,,
B0DHDDF5J2,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img5.jpg,,
B0DHDDF5J2,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img6.jpg,,
B0DHDDF5J2,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img7.jpg,,
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img1.jpg,"40mm Drivers
boAt Signature Sound

Integrated Controls _~ Premium

Dual Connectivity: BT & AUX Matte Finish

: Mi f,. ‘ Adjustable &

Foldable Earcups

SINGLE TOUCH
VOICE ASSISTANT","40mm Drivers boAt Signature Sound Integrated Controls  Premium Dual Connectivity   AUX Matte Finish   ,.  Adjustable  Foldable Earcups SINGLE TOUCH VOICE ASSISTANT"
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img2.jpg,"40mm Drivers
boAt Signature Sound
; “ / b y a
Ai",40mm Drivers boAt Signature Sound
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img3.jpg,"‘1g
4omm Drivers cf ay
Phan

Integrated Controls ~, Pretty
0
f. ' Aci patible: &
” NN .

©

y..","4omm Drivers   Phan Integrated Controls , Pretty  .  Aci patible    .  .."
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img4.jpg,,
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img5.jpg,,
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img6.jpg,,
B08667772G,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08667772G_allsrp_img7.jpg,,
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img1.jpg,,
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img2.jpg,"INTEGRATED
MULTIFUNCTION
CONTROL
INSTANT

VOICE
ASSISTANT

Coen

IN-LINE MIC
HANDS FREE
COMMUNICATION",INTEGRATED MULTIFUNCTION CONTROL INSTANT VOICE ASSISTANT Coen -LINE MIC HANDS FREE COMMUNICATION
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img3.jpg,"PERFECT
CABLE LENGTH

WITH FREE CARRY POUCH",PERFECT CABLE LENGTH WITH FREE CARRY POUCH
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img4.jpg,,
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img5.jpg,,
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img6.jpg,"HAWK
INSPIRED
DESIG",HAWK INSPIRED DESIG
B071Z8M4KX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B071Z8M4KX_allsrp_img7.jpg,"INTEGRATED
MULTIFUNCTION
CONTROL

INSTANT
VOICE
ASSISTANT

“HEY SIRI” ""OK GOOGLE”

IN-LINE MIC
HANDS FREE
COMMUNICATION",INTEGRATED MULTIFUNCTION CONTROL INSTANT VOICE ASSISTANT HEY SIRI  GOOGLE -LINE MIC HANDS FREE COMMUNICATION
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img1.jpg,"Adjustable
Headband and

Zc  EGrcups",Adjustable Headband and  EGrcups
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img2.jpg,,
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img3.jpg,"Seamless VoIP calls

10
Adaptive
audio equalization

Get lost in the music
and enjoy every subtle
sound with the power

_ of Dual Stream™ DSP

Simultaneous
dual-audio processing",Seamless VoIP calls  Adaptive audio equalization Get lost  the music and enjoy every subtle sound with the power   Dual Stream DSP Simultaneous dual-audio processing
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img4.jpg,"4Omm Conon

Ultra Low

Latency 4
gernngrase",4Omm Conon Ultra Low Latency  gernngrase
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img5.jpg,"Adjustable

Headband oA ‘-
and earcups

aT OM coms

Ultra Low
Bass Latency

ee Boosted gaming mode Ce 98

witseae Drivers &
80 hrs

Long
ly ec] “wf lasting XS
\w_ ae — battery |

processed calling “sx%7"") 73@geE
Yas J + i",Adjustable Headband  - and earcups   coms Ultra Low Bass Latency  Boosted gaming mode   witseae Drivers   hrs Long    lasting     battery  processed calling % 73geE Yas
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img6.jpg,,
B0F2FF44NN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0F2FF44NN_allsrp_img7.jpg,Navy Blue e,Navy Blue
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img1.jpg,,
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img2.jpg,,
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img3.jpg,"y:
\ a ae
BEAST™ Mode

40ms Low Latency for Gaming",BEAST Mode 40ms Low Latency for Gaming
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img4.jpg,"RGB LEDs
With 6 Modes",RGB LEDs With  Modes
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img5.jpg,,
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img6.jpg,"a. <a

40mm Drivers

boAt Signature Sound",.  40mm Drivers boAt Signature Sound
B0DGTTKCJX,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTTKCJX_allsrp_img7.jpg,"OO —
40mm Drivers

boAt Signature Sound",40mm Drivers boAt Signature Sound
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img1.jpg,,
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img2.jpg,"SO mm Drivers
boAt Signature Sound",Drivers boAt Signature Sound
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img3.jpg,"~~

Set a reminder for 5:00 pm
“HEY SIRI”

| eo
, 500mAh Battery

f
“OK GOOGLE”

Instant Voice Assistant

Integrated Controls |

ran te
/ i ON
\

Bluetooth

AUX Port","Set  reminder for 500  HEY SIRI   , 500mAh Battery   GOOGLE Instant Voice Assistant Integrated Controls  ran      Bluetooth AUX Port"
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img4.jpg,"“Sy

boAt Signature Sound",boAt Signature Sound
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img5.jpg,,
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img6.jpg,"Lil
\\) ity

Playback Time

20 Hours

Lil
\\} ty",Lil  ity Playback Time  Hours Lil
B0856HY85J,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0856HY85J_allsrp_img7.jpg,,
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img1.jpg,,
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img2.jpg,"Hours of
music,
Hours of
talk-time.
Hours of |
watching.","Hours  music, Hours  talk-time. Hours   watching."
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img3.jpg,,
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img4.jpg,"Ready for life.
Anywhere.
Anytime.",Ready for life. Anywhere. Anytime.
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img5.jpg,"Ready for life.
Anywhere.
Anytime.",Ready for life. Anywhere. Anytime.
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img6.jpg,"Stay connected,
no matter where you go.","Stay connected,  matter where you ."
B0B1PXM75C,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0B1PXM75C_allsrp_img7.jpg,"Eliminate

alllags | pom

(up to 40ms)",Eliminate alllags  pom   40ms
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img1.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img2.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img3.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img4.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img5.jpg,,
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img6.jpg,oMIN # = 2H,oMIN
B08QTYYNDN,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B08QTYYNDN_allsrp_img7.jpg,,
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img1.jpg,"Upto
Total Playback Time

Charge with Type C

10Mins - 10Hrs
CHARGE PLAYTIME",Upto Total Playback Time Charge with Type  10Mins - 10Hrs CHARGE PLAYTIME
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img2.jpg,"Low Latency Mode
w/ Dedicated Button",Low Latency Mode  Dedicated Button
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img3.jpg,Ox,
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img4.jpg,"ENx™ Technology
Be Clearly Heard Across Calls",ENx Technology  Clearly Heard Across Calls
B09QL3K2GD,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B09QL3K2GD_allsrp_img5.jpg,"ENx™ Technology
Be Clearly Heard Across Calls",ENx Technology  Clearly Heard Across Calls
